Configuration,Iteration,Array size,latency,cycles,freq,instructions
L1,1,16384,2.0097,200127909,2.48455e+09,40080124
L1,2,16384,2.03136,200188282,2.4588e+09,40080126
L1,3,16384,1.986,200185100,2.51492e+09,40080124
L1,4,16384,1.97911,200212181,2.52401e+09,40080124
L1,5,16384,1.96718,200190230,2.53904e+09,40080123
L1,6,16384,2.17849,200167420,2.2925e+09,40080131
L1,7,16384,2.00935,200246637,2.48645e+09,40080125
L1,8,16384,2.00725,200163304,2.48802e+09,40080124
L1,9,16384,1.996,200228134,2.50285e+09,40080124
L1,10,16384,2.04555,200189121,2.44175e+09,40080126
L2,1,524288,4.89306,560491590,2.85797e+09,40080240
L2,2,524288,4.85985,560442179,2.87725e+09,40080238
L2,3,524288,4.95998,560555579,2.81974e+09,40080242
L2,4,524288,4.91928,560478152,2.84267e+09,40080241
L2,5,524288,4.9343,560568114,2.83447e+09,40080244
L2,6,524288,4.86916,560600058,2.87256e+09,40080240
L2,7,524288,4.87118,560554677,2.87114e+09,40080239
L2,8,524288,4.85002,560594222,2.88386e+09,40080238
L2,9,524288,4.88188,560510211,2.86461e+09,40080239
L2,10,524288,4.90267,560584853,2.85285e+09,40080240
L3,1,8650752,21.3714,2677676628,3.12599e+09,40080903
L3,2,8650752,20.8457,2612635777,3.12697e+09,40080880
L3,3,8650752,20.9952,2601036390,3.09093e+09,40080888
L3,4,8650752,21.0412,2600253754,3.08325e+09,40080889
L3,5,8650752,21.1214,2595326396,3.06571e+09,40080895
L3,6,8650752,21.0625,2607351407,3.08854e+09,40080889
L3,7,8650752,21.0817,2621585825,3.10257e+09,40080891
L3,8,8650752,20.8117,2622930472,3.14442e+09,40080878
L3,9,8650752,20.9912,2611656957,3.10415e+09,40080887
L3,10,8650752,20.9839,2609281961,3.1024e+09,40080886
DRAM,1,138412032,80.4954,10145763838,3.14449e+09,40083281
DRAM,2,138412032,79.6945,10023330994,3.13777e+09,40083248
DRAM,3,138412032,82.3901,10128222422,3.06686e+09,40083362
DRAM,4,138412032,79.2194,10019026152,3.15523e+09,40083227
DRAM,5,138412032,79.1175,10019075444,3.15931e+09,40083223
DRAM,6,138412032,79.1382,10014632298,3.15708e+09,40083226
DRAM,7,138412032,79.3208,10000430642,3.14535e+09,40083232
DRAM,8,138412032,79.0189,10009493462,3.16023e+09,40083220
DRAM,9,138412032,79.7874,10104161307,3.15939e+09,40083252
DRAM,10,138412032,80.9663,10073688552,3.10399e+09,40083301
