Configuration,Iteration,Array size,latency,cycles,freq,instructions
L1,1,24576,1.84997,200024447,2.69767e+09,40080060
L1,2,24576,1.79845,200017734,2.77486e+09,40080060
L1,3,24576,1.8241,200035847,2.73609e+09,40080062
L1,4,24576,1.78445,200019615,2.79666e+09,40080060
L1,5,24576,1.87115,200023458,2.66712e+09,40080061
L1,6,24576,1.78395,200016488,2.79739e+09,40080061
L1,7,24576,1.84533,200024265,2.70446e+09,40080060
L1,8,24576,1.78388,200029478,2.79769e+09,40080062
L1,9,24576,1.82056,200025831,2.74128e+09,40080061
L1,10,24576,1.7848,200018793,2.7961e+09,40080060
L2,1,1048576,5.78579,641333295,2.76562e+09,40080100
L2,2,1048576,5.7076,640064523,2.79796e+09,40080099
L2,3,1048576,5.76638,641349247,2.775e+09,40080099
L2,4,1048576,5.70882,640087081,2.79746e+09,40080100
L2,5,1048576,5.77706,641383227,2.77002e+09,40080099
L2,6,1048576,5.70792,640068835,2.79782e+09,40080099
L2,7,1048576,5.7939,641675064,2.76322e+09,40080100
L2,8,1048576,5.7078,640079217,2.79793e+09,40080100
L2,9,1048576,5.77501,641189082,2.77016e+09,40080099
L2,10,1048576,5.70765,640058401,2.79791e+09,40080099
L3,1,31457280,41.6005,5144752457,3.08555e+09,40080465
L3,2,31457280,27.6784,4533657569,4.08673e+09,40080321
L3,3,31457280,27.6308,4538335284,4.098e+09,40080320
L3,4,31457280,27.6923,4536338512,4.0871e+09,40080323
L3,5,31457280,27.0628,4444215765,4.09724e+09,40080317
L3,6,31457280,27.0225,4438712056,4.09827e+09,40080315
L3,7,31457280,27.2603,4477518884,4.09804e+09,40080318
L3,8,31457280,27.6937,4548545236,4.0979e+09,40080326
L3,9,31457280,27.7167,4541346278,4.08801e+09,40080321
L3,10,31457280,27.5189,4519773073,4.09784e+09,40080320
DRAM,1,503316480,97.7038,16038027374,4.09544e+09,40081032
DRAM,2,503316480,97.2458,15963737201,4.09567e+09,40081023
DRAM,3,503316480,97.2784,15964170344,4.09441e+09,40081028
DRAM,4,503316480,98.4229,16151004581,4.09416e+09,40081037
DRAM,5,503316480,97.2168,15960923062,4.09617e+09,40081024
DRAM,6,503316480,97.3719,15991375190,4.09745e+09,40081028
DRAM,7,503316480,97.5064,16005657511,4.09545e+09,40081029
DRAM,8,503316480,97.6255,16025196568,4.09544e+09,40081031
DRAM,9,503316480,97.7189,16039447221,4.09517e+09,40081032
DRAM,10,503316480,97.377,15989041692,4.09663e+09,40081025
