Power,ArraySize,latency,cycles,freq,instructions
10,1024,1.06716,160041283,3.74173e+09,40080052
11,2048,1.06686,160028644,3.74248e+09,40080053
12,4096,1.06854,160050902,3.73715e+09,40080052
13,8192,1.06829,160096199,3.73908e+09,40080053
14,16384,1.06871,160182358,3.73961e+09,40080052
15,32768,1.06776,160140794,3.74196e+09,40080053
16,65536,3.75635,563326521,3.74167e+09,40080079
17,131072,3.75179,562643783,3.74168e+09,40080080
18,262144,3.76374,564521605,3.74225e+09,40080079
19,524288,3.76541,564819091,3.74256e+09,40080079
20,1048576,4.02073,602878327,3.74108e+09,40080082
21,2097152,13.7742,2065664290,3.74164e+09,40080182
22,4194304,14.4012,2160343729,3.74279e+09,40080187
23,8388608,15.9085,2386822405,3.74335e+09,40080201
24,16777216,19.7966,2970272179,3.74349e+09,40080240
25,33554432,38.7082,5807417156,3.74324e+09,40080429
26,67108864,109.507,16430178160,3.74336e+09,40081142
27,134217728,109.438,16420184007,3.74342e+09,40081139
28,268435456,110.607,16595094493,3.74332e+09,40081153
29,536870912,110.594,16594359071,3.74359e+09,40081152
