Power,ArraySize,latency,cycles,freq,instructions
10,1024,1.84271,200117768,2.70957e+09,40080060
11,2048,1.80297,200199754,2.77043e+09,40080060
12,4096,1.85294,200317137,2.69729e+09,40080062
13,8192,1.79703,200310979,2.78113e+09,40080060
14,16384,1.87382,200331299,2.66742e+09,40080060
15,32768,1.78887,200525249,2.7968e+09,40080060
16,65536,5.77706,639348972,2.76123e+09,40080099
17,131072,5.71186,640504993,2.7978e+09,40080099
18,262144,5.79075,641005730,2.76184e+09,40080101
19,524288,5.71289,640741502,2.79833e+09,40080099
20,1048576,5.78322,640888765,2.76493e+09,40080100
21,2097152,8.15961,914085119,2.79504e+09,40080124
22,4194304,50.1177,5737568015,2.8563e+09,40080549
23,8388608,25.9725,4151143889,3.9877e+09,40080305
24,16777216,26.2981,4222592962,4.00612e+09,40080308
25,33554432,27.1644,4423615026,4.06299e+09,40080316
26,67108864,41.4692,6750033230,4.06114e+09,40080460
27,134217728,79.9212,12973587993,4.05006e+09,40080852
28,268435456,92.3178,14851173296,4.01363e+09,40080975
29,536870912,98.5019,15733840860,3.98521e+09,40081038
